time_UTC  Vup  Vnorth  Veast  Vdown
690468387.758  -0.0349247  0.0382606  -0.0354186  0.0349247
690468387.814  0.0494414  0.00934118  0.039462  -0.0494414
690468387.870  0.0150713  0.0107106  0.0115377  -0.0150713
690468387.926  -0.0046058  -0.0525331  -0.030587  0.0046058
690468387.982  -0.102322  0.0337439  -0.0146674  0.102322
690468388.038  0.0719268  -0.00583917  0.0259207  -0.0719268
690468388.094  0.0191183  -0.0117955  0.0060634  -0.0191183
690468388.150  -0.0204216  0.00192486  -0.0201674  0.0204216
690468388.206  0.0160351  -0.0116953  0.0135826  -0.0160351
690468388.262  -0.0166019  0.029223  -0.022057  0.0166019
690468388.318  -0.00131981  -0.00756095  0.0167763  0.00131981
690468388.374  0.0503735  -0.0111014  0.0111112  -0.0503735
690468388.430  -0.0592387  0.0277739  -0.0185324  0.0592387
690468388.486  -0.00858261  -0.0293595  -0.0167247  0.00858261
690468388.542  -0.000467486  0.0183201  -0.0268754  0.000467486
690468388.598  0.0373051  -0.00512529  0.0449332  -0.0373051
690468388.654  -0.00139425  -0.0150142  0.00514459  0.00139425
690468388.710  -0.0479826  0.0247605  -0.0430458  0.0479826
690468388.766  0.0139599  -0.02382  0.040987  -0.0139599
690468388.822  0.0298373  -0.0196426  0.0178606  -0.0298373
690468388.878  0.0104546  -0.0095948  -0.0104091  -0.0104546
690468388.934  0.0130653  0.0318122  -0.0167696  -0.0130653
690468388.990  -0.0108521  0.00996374  -0.00978858  0.0108521
690468389.046  -0.0272363  -0.00364896  0.0327889  0.0272363
690468389.102  0.00187068  -0.00314254  -0.0251578  -0.00187068
690468389.158  -0.0142798  0.00553261  -0.0212734  0.0142798
690468389.214  0.0339677  -0.0245834  0.0100401  -0.0339677
690468389.270  -0.00739058  0.0534853  0.00316916  0.00739058
690468389.326  -0.00261944  -0.0352969  0.014828  0.00261944
690468389.382  0.00481092  -0.0265439  0.0175477  -0.00481092
690468389.438  -0.00644962  0.00726565  -0.0265255  0.00644962
690468389.494  -0.0656979  0.0444652  -0.0347533  0.0656979
690468389.550  0.0383863  -0.039883  0.0323433  -0.0383863
690468389.606  0.0285832  -0.0107925  0.0133063  -0.0285832
690468389.662  0.0182143  0.0103433  -0.00743422  -0.0182143
690468389.718  -0.0211649  0.0148813  0.0150627  0.0211649
690468389.774  -0.0234184  -0.0235484  -0.0198356  0.0234184
690468389.830  0.0217275  0.0193959  -0.00559006  -0.0217275
690468389.886  -0.003534  -0.00304911  0.0227861  0.003534
690468389.942  0.0489672  -0.0240747  -0.00207595  -0.0489672
690468389.998  -0.032078  0.00481779  -0.0119853  0.032078
690468390.054  -0.0819751  0.0321882  -0.052052  0.0819751
690468390.110  0.0530158  -0.0210081  0.0492342  -0.0530158
690468390.166  0.00406162  -0.018312  0.00921682  -0.00406162
690468390.222  -0.0236689  0.00059839  -0.026271  0.0236689
690468390.278  0.0563527  -0.00229376  0.0272597  -0.0563527
690468390.334  -0.0498317  0.0294017  -0.010421  0.0498317
690468390.390  -0.0457986  0.0124491  0.0108729  0.0457986
690468390.446  0.0691028  -0.0208142  0.024596  -0.0691028
690468390.502  0.050791  -0.0254062  -0.00752693  -0.050791
690468390.558  -0.0823857  0.00296517  -0.0795243  0.0823857
690468390.614  0.0119608  -0.0116315  0.0301256  -0.0119608
690468390.670  0.0870282  0.0143466  0.0285919  -0.0870282
690468390.726  -0.0266038  -0.0071632  0.0126288  0.0266038
690468390.782  -0.027015  0.0159389  -0.00831297  0.027015
690468390.838  -0.0330441  -0.0354615  -0.0243897  0.0330441
690468390.894  0.0484162  0.011056  0.027881  -0.0484162
690468390.950  0.0129451  0.0331629  -0.0159625  -0.0129451
690468391.006  -0.0304469  0.0127418  -0.014099  0.0304469
690468391.062  -0.0785285  -0.0441384  -0.00854749  0.0785285
690468391.118  0.0998455  -0.021615  0.033855  -0.0998455
690468391.174  -0.0331755  0.0221692  -0.0425069  0.0331755
690468391.230  0.00531445  0.0323204  0.0192811  -0.00531445
690468391.286  0.00930682  0.00372614  0.0182405  -0.00930682
690468391.342  -0.00805881  -0.0279866  -0.00699705  0.00805881
690468391.398  -0.0975246  0.0231058  -0.0399261  0.0975246
690468391.454  0.0548427  -0.00688261  0.00986777  -0.0548427
690468391.510  0.0194866  0.00277415  0.0244616  -0.0194866
690468391.566  0.011482  -0.0315393  0.0299559  -0.011482
690468391.622  0.0463803  -0.0127997  -0.0173172  -0.0463803
690468391.678  -0.0228679  0.0017457  -0.000122676  0.0228679
690468391.734  -0.0119988  -0.0110719  -0.0192132  0.0119988
690468391.790  0.0250019  0.00204563  0.0165037  -0.0250019
690468391.846  0.0138339  0.00544939  -0.00211801  -0.0138339
690468391.902  0.0201472  0.0142656  -0.0142235  -0.0201472
690468391.958  -0.0757135  0.0114848  0.0111453  0.0757135
690468392.014  0.00229054  -0.0111096  0.00898696  -0.00229054
690468392.070  0.0366617  0.00336449  0.017741  -0.0366617
690468392.126  6.09548e-05  -0.00718331  -0.0120272  -6.09548e-05
690468392.182  0.00276257  -0.0353493  -0.0294942  -0.00276257
690468392.238  -0.0228829  -0.0128507  -0.0060686  0.0228829
690468392.294  0.0124957  0.0372086  0.0332797  -0.0124957
690468392.350  -0.0315684  -0.0111211  0.00184069  0.0315684
690468392.406  -0.0422224  0.0356478  -0.0344817  0.0422224
690468392.462  0.0218528  0.0107201  -0.0131752  -0.0218528
690468392.518  0.0477803  -0.0319207  0.0116006  -0.0477803
690468392.574  -0.00459519  -0.0248234  -0.00196921  0.00459519
690468392.630  0.00783939  -0.00684716  0.00636339  -0.00783939
690468392.686  0.0195103  -0.00759458  -0.00015462  -0.0195103
690468392.742  0.0101537  0.0257608  -0.013697  -0.0101537
690468392.798  -0.0346824  -0.0233713  0.0183554  0.0346824
690468392.854  0.0199648  0.0183474  0.00507452  -0.0199648
690468392.910  0.0465173  -0.000262782  0.0116455  -0.0465173
690468392.966  -0.102567  -0.0182216  -0.0444717  0.102567
690468393.022  -0.0348243  0.0633574  0.0131784  0.0348243
690468393.078  0.0584996  -0.0614886  0.0202927  -0.0584996
690468393.134  0.0409055  0.0106015  0.00998494  -0.0409055
690468393.190  -0.0239444  0.00958193  -0.00661853  0.0239444
690468393.246  0.0248324  -0.00464768  -0.0126592  -0.0248324
690468393.302  0.00358108  -0.003158  0.00479498  -0.00358108
690468393.358  -0.00272511  -0.0370361  0.00383119  0.00272511
690468393.414  -0.00120893  0.0299207  0.010703  0.00120893
690468393.470  -0.0444209  0.00413677  -0.0357331  0.0444209
690468393.526  0.0209712  -0.0119653  0.0100646  -0.0209712
690468393.582  -0.0512765  -0.00281739  0.0183743  0.0512765
690468393.638  0.0428346  0.0143818  -0.0168974  -0.0428346
690468393.694  0.00731758  -0.0057881  -0.0278197  -0.00731758
690468393.750  0.00731972  -0.0150906  0.0501857  -0.00731972
690468393.806  -0.0486017  -0.0120068  0.0129536  0.0486017
690468393.862  -0.00882589  0.0458882  -0.0562683  0.00882589
690468393.918  0.0721442  -0.0138628  -0.00244156  -0.0721442
690468393.974  -0.0115422  -0.0220566  0.0399357  0.0115422
690468394.030  -0.00183794  -0.0084168  -0.00534861  0.00183794
690468394.086  -0.0299018  0.0173216  -0.0195892  0.0299018
690468394.142  0.029361  -0.00912292  0.0200804  -0.029361
690468394.198  -0.00793517  0.013914  0.0202081  0.00793517
690468394.254  -0.0150999  -0.0120566  -0.0285223  0.0150999
690468394.310  -0.0104801  -0.00442116  -0.0238658  0.0104801
690468394.366  -0.0284342  -0.0278108  0.0242733  0.0284342
690468394.422  0.0942002  0.0277531  -0.00537661  -0.0942002
690468394.478  -0.0457376  -0.0111134  0.00626388  0.0457376
690468394.534  -0.0207078  -0.0102097  0.0160859  0.0207078
690468394.590  0.0329985  -0.00120917  -0.000441397  -0.0329985
690468394.646  0.0216338  0.00384108  -0.023205  -0.0216338
690468394.702  0.0107237  0.00133938  -0.0098924  -0.0107237
690468394.758  -0.116127  0.0087249  0.0187448  0.116127
690468394.814  0.0475632  0.0296797  0.00910856  -0.0475632
